Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013,7,1,1807.698256,1635.914458,1483.823212,1402.850248,1380.266152,1355.973905,1511.474013,1741.582143,1931.560798,1940.278774,1862.967109,1745.703647,1596.376925,1581.629559,1654.303954,1698.275923,1851.842346,2085.701264,2311.356553,2252.426046,2121.519794,1954.511998,1812.3917,1732.224778
2013,7,2,1691.74744,1500.311998,1333.671788,1246.586011,1233.735977,1276.90592,1403.225445,1747.869728,1988.4728,2008.674918,2024.628775,1958.383454,1946.412575,1886.202627,1821.548783,1796.370785,1901.732036,2116.34859,2357.774476,2350.170874,2259.94023,2124.895189,1946.256148,1862.751744
2013,7,3,1818.634608,1585.725916,1453.533204,1343.026786,1335.533988,1331.88858,1469.298033,1661.307513,1861.012323,1855.568062,1798.718427,1790.620526,1750.73392,1740.287551,1699.440379,1679.064599,1751.174766,1935.340466,2192.295455,2194.776695,2096.044604,1981.407079,1831.492622,1755.833164
2013,7,4,1754.295731,1585.659015,1465.858511,1390.617563,1362.244259,1400.013638,1525.777492,1744.763385,1908.406758,1838.619261,1790.50139,1763.106006,1795.256338,1799.220217,1820.754021,1771.54009,1820.567964,1959.618577,2220.157438,2204.961426,2133.142884,1985.793148,1848.61369,1797.17957
2013,7,5,1752.97531,1595.618596,1382.02322,1243.800686,1155.997959,1189.100611,1263.039161,1465.796011,1676.254907,1660.798457,1599.649324,1566.525869,1488.6587,1529.957576,1477.412301,1437.355242,1555.50266,1692.181737,1883.671504,1885.140983,1822.471603,1711.562094,1629.610661,1657.91881
2013,7,6,1601.075594,1405.571725,1243.814372,1139.235712,1102.586729,1113.569338,1172.161335,1234.143379,1339.75454,1383.344578,1383.251354,1356.230052,1329.990171,1312.805106,1286.148337,1265.15045,1327.254344,1537.157734,1760.652251,1699.064706,1630.584998,1554.230748,1521.897441,1590.546798
2013,7,7,1630.194234,1426.051087,1245.119785,1149.522136,1105.559606,1090.656512,1105.704501,1133.23244,1252.46932,1315.589706,1303.851942,1295.000151,1286.235121,1293.828711,1338.227029,1368.58218,1447.93907,1653.632073,1916.752546,1908.615781,1854.664339,1782.79368,1652.401769,1650.398849
2013,7,8,1667.287111,1492.186582,1320.557509,1249.58243,1193.537884,1236.599328,1373.174031,1612.292937,1835.639284,1902.802842,1829.110075,1769.87179,1747.244398,1764.8349,1804.931567,1765.732356,1815.67172,2004.390946,2269.785415,2276.682775,2144.444286,2074.655366,1892.800329,1790.544601
2013,7,9,1778.241046,1518.282207,1326.781773,1226.637861,1217.213231,1253.052571,1385.86341,1659.486732,1862.760786,1883.012929,1840.261886,1772.841291,1728.368076,1704.83217,1686.722504,1697.947567,1764.103035,1973.061795,2288.541868,2284.410436,2198.275438,2085.888464,1929.356446,1792.45828
2013,7,10,1686.709633,1467.957762,1275.150116,1171.478344,1155.121806,1193.697818,1341.454996,1601.026609,1802.782473,1859.135846,1757.530341,1689.036021,1669.62522,1638.02741,1626.968608,1609.325637,1670.494907,1850.760202,2175.945528,2198.826451,2125.622555,2043.212425,1895.701076,1793.755146
2013,7,11,1779.070967,1531.373375,1387.061765,1271.409008,1273.899835,1334.438944,1472.67473,1783.356542,1945.300465,1914.801074,1665.191539,1611.640247,1647.468655,1590.997723,1574.12855,1562.598646,1626.322131,1901.954693,2168.758221,2174.985407,2117.245796,1980.422389,1836.67017,1789.979829
2013,7,12,1768.097386,1590.813506,1430.321575,1375.255638,1348.280246,1382.315358,1473.70134,1640.79254,1796.342852,1863.335495,1816.158386,1804.574223,1846.019461,1862.795612,1842.979136,1862.088653,1909.533438,2051.898119,2238.783322,2168.80088,2083.768756,1969.397348,1817.576639,1817.726859
2013,7,13,1791.595932,1650.200698,1444.166812,1330.184327,1292.971231,1230.755481,1201.199274,1355.047793,1510.415034,1558.840967,1484.273114,1530.833687,1469.442473,1446.390512,1406.452674,1394.16438,1416.683639,1628.950434,1881.031337,1890.875557,1855.441059,1753.144475,1688.136794,1763.38219
2013,7,14,1800.799625,1647.062592,1454.539986,1407.539532,1343.062353,1265.622331,1270.727298,1278.232401,1300.510412,1350.203239,1324.69604,1305.543626,1330.686533,1366.882539,1331.072101,1345.069966,1378.732954,1509.001474,1810.295521,1847.194361,1792.166074,1750.009723,1624.582261,1593.220499
2013,7,15,1620.337391,1461.921989,1306.843734,1196.459754,1172.114681,1233.472324,1370.440493,1559.321499,1752.687428,1853.009507,1853.220443,1765.114689,1724.971801,1763.097711,1698.805929,1682.550703,1736.867288,1891.213728,2211.716208,2170.985595,2107.961124,1982.742568,1847.508724,1727.144178
2013,7,16,1704.67516,1534.834583,1368.644455,1247.427974,1219.11842,1266.11926,1403.463182,1648.633459,1897.828596,1948.049069,1891.364639,1887.023782,1901.689747,1859.930499,1805.792806,1766.218283,1786.618119,1930.272596,2175.779689,2164.547341,2099.976053,1985.389836,1860.963444,1803.78515
2013,7,17,1714.347163,1492.22413,1318.391322,1257.97711,1197.393625,1262.404808,1344.03806,1551.744634,1796.551676,1834.297426,1699.254086,1674.622803,1645.26463,1657.77053,1686.606396,1652.198159,1619.049284,1766.652979,2065.767823,2037.763153,1960.335978,1842.228782,1682.629706,1606.802816
2013,7,18,1555.404737,1354.208006,1181.500347,1100.290288,1092.26774,1119.742646,1253.685566,1464.023386,1665.42355,1691.765953,1597.323591,1533.081073,1510.903249,1505.104602,1491.469595,1567.326574,1544.893985,1724.56435,2309.303662,2352.022256,2296.845832,2193.303894,1968.8977,1916.49448
2013,7,19,1863.062112,1620.513467,1423.52714,1297.79823,1244.267032,1251.354753,1340.472017,1539.472209,1780.168221,1908.335167,1851.459452,1782.569267,1720.408705,1676.440108,1612.512613,1569.254485,1623.42408,1819.563013,2109.815304,2080.2173,2025.688852,1928.140166,1813.98516,1816.40573
2013,7,20,1754.150796,1555.467299,1370.601683,1295.786126,1236.672483,1221.265461,1230.242737,1323.736021,1495.05611,1521.957568,1455.867057,1384.743514,1347.94448,1316.557349,1323.382184,1320.561959,1361.870384,1529.395204,1799.033564,1815.341068,1712.680964,1646.612478,1577.286909,1682.9413
2013,7,21,1743.968915,1609.703179,1443.659528,1352.550543,1299.008852,1241.429462,1259.448431,1331.15339,1411.319525,1420.156718,1377.834063,1349.957881,1336.127575,1299.297886,1282.333041,1284.518972,1351.89934,1527.336675,1883.786338,1896.130698,1812.735466,1767.531581,1653.321883,1624.527786
2013,7,22,1595.138724,1412.27867,1159.17192,1052.713529,971.219076,1004.269021,1152.1681,1369.558116,1570.819939,1518.536844,1449.679602,1472.450748,1535.664021,1562.360074,1566.197799,1588.943844,1621.339804,1747.120261,1991.999056,1948.481262,1885.626531,1777.961953,1650.555344,1681.31543
2013,7,23,1657.916942,1495.621108,1366.61167,1296.016102,1256.937496,1227.378408,1351.833163,1568.269385,1712.175909,1760.856068,1637.014912,1545.420801,1533.392032,1551.983969,1527.948239,1463.316595,1555.545589,1690.957127,1990.773038,1981.640832,1805.73009,1770.464423,1664.996703,1699.753216
2013,7,24,1710.988886,1537.641856,1378.954132,1285.854952,1206.467962,1220.809498,1341.98216,1555.686177,1771.492261,1802.497931,1689.239699,1709.946736,1747.645486,1710.313422,1637.510482,1547.649048,1578.773301,1716.286512,1943.223909,1972.404881,1881.591811,1818.679063,1684.217452,1643.107118
2013,7,25,1628.60263,1432.778542,1248.275692,1170.302196,1153.1791,1202.4546,1361.72,1695.61172,1923.4639,1861.209333,1758.015208,1665.783936,1639.122416,1650.277231,1643.476997,1613.977783,1682.116177,1858.886564,2274.032155,2384.328976,2375.873023,2298.012727,2107.060937,1988.754977
