Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,
2036,5,21,0.537567068,0.495975438,0.458980064,0.436323031,0.434977955,0.452297334,0.554365635,0.735920729,0.771120954,0.720784721,0.633616048,0.562212722,0.535433639,0.499025232,0.488347189,0.499823422,0.580835781,0.803622639,0.870998898,0.814578027,0.758106366,0.642821939,0.606623302,0.563789345,,
2036,5,22,0.527764758,0.494077227,0.457108984,0.436371565,0.434575029,0.451514435,0.549577894,0.724266796,0.755133846,0.701458166,0.638131536,0.564198393,0.510536553,0.486403134,0.482084451,0.491360827,0.586849692,0.797922832,0.870889575,0.827388248,0.781905815,0.650233096,0.610125008,0.567251161,,
2036,5,23,0.528651401,0.494126673,0.45740064,0.435393341,0.434396321,0.452287202,0.546569576,0.709979929,0.741618755,0.701237673,0.64520689,0.577561742,0.548712669,0.507315207,0.488095763,0.496654435,0.604548127,0.775221814,0.815921082,0.750294876,0.694981846,0.58836191,0.588697534,0.568498359,,
2036,5,24,0.530750416,0.491001456,0.45424324,0.431370004,0.427364089,0.424975264,0.441289197,0.498636591,0.581524025,0.614334335,0.552023951,0.469239513,0.42382493,0.389845705,0.380759328,0.404103066,0.487555185,0.709939518,0.761756908,0.682731037,0.620944031,0.569509252,0.558258374,0.537034568,,
2036,5,25,0.49316482,0.465415497,0.436470209,0.426254361,0.424864131,0.421290206,0.425514142,0.458655194,0.531008274,0.55871257,0.526630387,0.471465073,0.430141222,0.399690708,0.394196589,0.420832172,0.524320577,0.751137981,0.821411111,0.761889259,0.720395362,0.611143519,0.5577877,0.514953967,,
2036,5,26,0.481594306,0.46336904,0.437980743,0.43044425,0.431756955,0.450010776,0.552356215,0.758156982,0.818482066,0.771008842,0.718978029,0.637986844,0.592772134,0.573435269,0.558072858,0.566327971,0.689321733,0.889456538,0.909411401,0.840837921,0.771520989,0.645733213,0.602039575,0.564443146,,
2036,5,27,0.524362899,0.495081082,0.456777648,0.434405126,0.432987645,0.448539002,0.536197746,0.692576535,0.74776293,0.719878832,0.682091981,0.648518792,0.624026123,0.585023517,0.579426252,0.595554125,0.68821526,0.858490258,0.900399369,0.842473513,0.772976708,0.660915765,0.626070785,0.576499935,,
2036,5,28,0.538299795,0.49788188,0.458907239,0.438403639,0.43902613,0.447958943,0.529735138,0.694108748,0.75542667,0.739272403,0.704692881,0.660897387,0.629129991,0.606512194,0.600626831,0.655561402,0.753608083,0.916861598,0.946467169,0.868300986,0.793543735,0.672562225,0.623850433,0.56870257,,
2036,5,29,0.528300255,0.489862543,0.45340115,0.432504144,0.430790484,0.445211614,0.529664927,0.685955322,0.725503963,0.687135335,0.641619877,0.592567534,0.556321603,0.523772879,0.498770617,0.520640089,0.638576622,0.831577125,0.898102574,0.852591373,0.789422754,0.652880967,0.630243161,0.581351619,,
2036,5,30,0.530228673,0.494080707,0.455568709,0.433488074,0.432683492,0.445805686,0.533698031,0.70288975,0.769019931,0.732187221,0.666578668,0.593609551,0.540068306,0.514867671,0.486548925,0.500366006,0.581466094,0.772511207,0.805886864,0.738971243,0.672143634,0.584224241,0.585014961,0.566104895,,
