Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013,7,1,5062.874805,5183.060848,4921.925616,4744.879216,4734.879719,4963.558822,5730.918368,6727.0619,7334.316908,7486.556873,7305.779047,7082.565975,6894.927398,6902.920171,6756.486065,6787.577455,6940.60434,7584.202357,7698.741355,7321.648503,6916.758595,6337.499909,5578.631149,5467.873377
2013,7,2,5094.167022,5178.312339,4834.986219,4603.275507,4571.729136,4796.282024,5582.794431,6542.434934,7215.942383,7473.406587,7427.858201,7356.789051,7295.768144,7251.707538,7223.530546,7202.974852,7214.290039,7596.602944,7459.700422,7235.194099,6751.823317,6224.26734,5582.5236,5417.0413
2013,7,3,4893.250322,5064.544938,4756.156106,4572.52204,4498.603004,4645.914804,5247.688585,5939.772316,6610.514092,6814.381457,6546.485091,6436.861639,6305.90185,6480.656171,6254.504959,6142.305676,6278.983076,7018.230614,7179.351053,6778.413685,6395.161043,5928.836566,5426.903562,5423.775973
2013,7,4,5091.177648,5207.337665,4864.217467,4670.254224,4616.638988,4813.073141,5429.051662,6191.205384,6766.744396,6911.227259,6754.696951,6650.127639,6666.224417,6695.253171,6610.340947,6767.176388,6911.752155,7379.695374,7401.697507,6958.0145,6597.567328,6092.456091,5561.346525,5507.002769
2013,7,5,5096.669898,5269.885,4911.4046,4729.2866,4647.696169,4780.393645,5318.048325,6076.18194,6784.528493,6938.151787,6816.873041,6589.173819,6437.251225,6448.321185,6299.377255,6209.1899,6332.510646,7032.200678,7122.966199,6715.404412,6355.483373,5834.207971,5454.588344,5506.549762
2013,7,6,5092.836038,5150.962322,4803.669017,4631.379494,4492.419192,4495.432412,4636.511814,4794.157217,5133.212126,5413.797501,5369.162098,5229.96496,5143.625548,5169.559923,5063.695875,5092.547529,5221.285855,5829.805775,6100.769612,5796.143168,5462.263624,5216.916082,4996.652075,5111.728541
2013,7,7,4783.701034,4828.213248,4480.597575,4264.167907,4162.91196,4147.247816,4254.277501,4321.049687,4580.120029,4841.892739,4878.263973,4843.078452,4801.641211,4822.024987,4820.419187,4904.605052,5109.221651,5787.877646,6213.732184,5945.642655,5713.880057,5406.899373,5023.149593,4988.920742
2013,7,8,4695.423532,4822.329856,4535.107095,4387.009064,4344.505403,4538.551126,5140.540323,6017.688894,6813.124057,7038.381715,6745.458583,6705.407419,6718.016268,6669.559391,6440.668893,6398.360062,6576.03558,7221.839125,7292.993813,6918.971161,6567.910457,6068.117905,5403.719404,5305.88996
2013,7,9,4931.238286,5133.59072,4819.95952,4613.54192,4581.18838,4784.18598,5521.140491,6434.083847,7011.935723,7086.226551,6863.99242,6464.687705,6305.952368,6362.0077,6161.382033,6111.198678,6374.218697,7225.712477,7559.722299,7246.488378,6987.614797,6509.683994,5878.641647,5697.302337
2013,7,10,5185.182112,5269.935673,4948.708733,4695.644053,4596.848295,4747.531538,5516.57579,6480.833805,7185.250349,7330.136886,7033.121828,6604.384104,6428.241809,6463.599337,6264.857795,6112.51371,6275.829009,7134.726616,7421.980066,7150.84995,6808.39144,6258.445887,5623.318038,5515.99194
